"Daily BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CAD","USD/MXN","","",""
"2013-12-22","1.0634","12.9616",,,
"2013-12-21","1.0634","12.9616",,,
"2013-12-20","1.0634","12.9616",,,
"2013-12-19","1.0634","12.9616",,,
"2013-12-18","1.0634","12.9616",,,
"2013-12-17","1.0634","12.9616",,,
"2013-12-16","1.0634","12.9616",,,
"2013-12-15","1.0634","12.9616",,,
"2013-12-14","1.0634","12.9616",,,
"2013-12-13","1.0600","13.0201",,,
"2013-12-12","1.0602","12.8854",,,
"2013-12-11","1.0628","12.8421",,,
"2013-12-10","1.0650","12.8762",,,
"2013-12-09","1.0634","12.9263",,,
"2013-12-08","1.0635","12.9262",,,
"2013-12-07","1.0654","13.0388",,,
"2013-12-06","1.0666","13.0378",,,
"2013-12-05","1.0661","13.1100",,,
"2013-12-04","1.0648","13.2113",,,
"2013-12-03","1.0628","13.1445",,,
"2013-12-02","1.0610","13.1008",,,
"2013-12-01","1.0610","13.1008",,,
"2013-11-30","1.0592","13.0800",,,
"2013-11-29","1.0585","13.0998",,,
"2013-11-28","1.0561","13.0779",,,
"2013-11-27","1.0539","13.0594",,,
"2013-11-26","1.0551","12.9998",,,
"2013-11-25","1.0513","12.9619",,,
"2013-11-24","1.0513","12.9621",,,
"2013-11-23","1.0536","13.0244",,,
"2013-11-22","1.0476","13.0892",,,
"2013-11-21","1.0459","12.9799",,,
"2013-11-20","1.0442","12.8982",,,
"2013-11-19","1.0429","12.8988",,,
"2013-11-18","1.0433","12.9281",,,
"2013-11-17","1.0433","12.9284",,,
"2013-11-16","1.0464","12.9561",,,
"2013-11-15","1.0477","13.0264",,,
"2013-11-14","1.0483","13.1537",,,
"2013-11-13","1.0485","13.2196",,,
"2013-11-12","1.0475","13.1777",,,
"2013-11-11","1.0475","13.1632",,,
"2013-11-10","1.0475","13.1634",,,
"2013-11-09","1.0465","13.2206",,,
"2013-11-08","1.0426","13.1690",,,
"2013-11-07","1.0440","13.1335",,,
"2013-11-06","1.0437","13.0474",,,
"2013-11-05","1.0414","13.0185",,,
"2013-11-04","1.0418","13.0541",,,
"2013-11-03","1.0418","13.0541",,,
"2013-11-02","1.0430","13.0398",,,
"2013-11-01","1.0458","12.9641",,,
"2013-10-31","1.0462","12.8965",,,
"2013-10-30","1.0446","12.8963",,,
"2013-10-29","1.0442","12.8599",,,
"2013-10-28","1.0443","12.8745",,,
"2013-10-27","1.0443","12.8745",,,
"2013-10-26","1.0434","12.9443",,,
"2013-10-25","1.0396","12.9755",,,
"2013-10-24","1.0329","12.9083",,,
"2013-10-23","1.0296","12.9386",,,
"2013-10-22","1.0295","12.8797",,,
"2013-10-21","1.0281","12.8501",,,
"2013-10-20","1.0281","12.8501",,,
"2013-10-19","1.0292","12.7908",,,
"2013-10-18","1.0307","12.8162",,,
"2013-10-17","1.0363","12.9362",,,
"2013-10-16","1.0355","12.9792",,,
"2013-10-15","1.0354","13.0136",,,
"2013-10-14","1.0345","12.9891",,,
"2013-10-13","1.0345","12.9891",,,
"2013-10-12","1.0389","13.0577",,,
"2013-10-11","1.0395","13.1331",,,
"2013-10-10","1.0377","13.1812",,,
"2013-10-09","1.0328","13.1326",,,
"2013-10-08","1.0310","13.1262",,,
"2013-10-07","1.0294","13.0773",,,
"2013-10-06","1.0294","13.0773",,,
"2013-10-05","1.0321","13.1363",,,
"2013-10-04","1.0326","13.1503",,,
"2013-10-03","1.0338","13.1632",,,
"2013-10-02","1.0316","13.1038",,,
"2013-10-01","1.0303","13.1811",,,
""
"Period Average","1.0454","13.0202","","",""
"Period Low","1.0281","12.7908","","",""
"Period High","1.0666","13.2206","","",""
